Id,SalePrice
1461,119894.375
1462,148907.42
1463,177981.12
1464,199937.52
1465,189579.2
1466,170557.2
1467,175503.55
1468,160397.3
1469,202570.2
1470,99355.52
1471,168417.42
1472,99530.805
1473,96088.98
1474,148638.12
1475,107325.016
1476,332549.34
1477,268166.03
1478,273535.78
1479,273329.3
1480,438963.06
1481,310156.44
1482,217299.88
1483,160083.17
1484,159410.94
1485,179226.73
1486,190388.98
1487,315087.94
1488,241221.66
1489,194957.55
1490,220222.69
1491,194468.48
1492,81108.97
1493,168975.05
1494,294901.0
1495,285535.75
1496,226877.77
1497,174482.77
1498,159292.61
1499,122871.93
1500,142973.05
1501,197677.78
1502,140208.92
1503,306227.7
1504,250340.14
1505,226955.86
1506,191698.27
1507,272572.9
1508,209252.12
1509,166408.25
1510,142764.62
1511,144584.05
1512,172062.86
1513,149818.66
1514,172478.05
1515,211875.95
1516,156626.48
1517,172331.7
1518,124995.79
1519,224979.42
1520,116031.67
1521,128220.445
1522,193848.62
1523,110037.57
1524,135385.98
1525,129870.62
1526,108814.07
1527,104289.79
1528,159694.58
1529,151777.16
1530,208796.8
1531,92108.086
1532,101301.15
1533,169925.7
1534,131707.5
1535,133800.22
1536,104611.695
1537,63333.695
1538,139411.83
1539,207481.84
1540,102262.7
1541,141571.3
1542,136195.05
1543,181490.02
1544,79336.73
1545,111573.85
1546,135457.45
1547,132281.9
1548,138910.97
1549,123422.96
1550,127404.32
1551,120388.93
1552,128840.88
1553,122809.26
1554,112965.31
1555,155247.66
1556,83784.48
1557,123223.01
1558,104340.44
1559,56928.55
1560,126665.17
1561,136565.1
1562,129494.086
1563,116949.93
1564,144161.8
1565,120951.62
1566,242179.27
1567,64813.332
1568,257599.47
1569,139547.58
1570,140590.33
1571,139237.77
1572,154030.2
1573,242229.3
1574,126031.61
1575,207172.14
1576,269434.8
1577,176281.77
1578,152686.3
1579,134869.06
1580,206752.97
1581,150821.08
1582,128142.164
1583,319583.7
1584,224599.78
1585,130348.15
1586,60553.586
1587,105107.03
1588,154237.27
1589,102289.87
1590,152958.23
1591,101372.7
1592,120095.375
1593,130651.24
1594,126190.914
1595,101096.4
1596,211807.92
1597,157439.22
1598,214085.66
1599,162541.64
1600,156925.23
1601,67272.52
1602,114672.04
1603,84703.37
1604,259870.2
1605,267391.3
1606,183044.3
1607,174749.19
1608,226263.08
1609,196654.58
1610,154238.88
1611,140188.8
1612,164058.84
1613,175062.95
1614,135333.0
1615,87491.87
1616,82754.68
1617,98368.914
1618,124230.35
1619,131122.23
1620,190618.06
1621,146694.92
1622,133724.86
1623,280196.9
1624,226198.7
1625,138002.58
1626,174613.34
1627,195498.58
1628,266882.2
1629,172630.64
1630,340795.2
1631,219317.39
1632,241316.58
1633,171057.36
1634,184599.83
1635,171414.39
1636,150082.08
1637,214517.7
1638,176217.27
1639,202677.58
1640,257390.36
1641,185592.64
1642,224677.97
1643,216775.23
1644,202999.84
1645,226838.86
1646,173531.19
1647,160942.73
1648,124121.24
1649,134702.3
1650,114635.73
1651,121585.02
1652,102703.63
1653,114028.36
1654,144265.67
1655,156147.53
1656,138495.39
1657,156102.61
1658,135309.64
1659,136386.98
1660,145066.95
1661,401345.38
1662,363117.75
1663,339559.53
1664,433004.12
1665,285171.5
1666,317465.56
1667,342883.12
1668,315673.1
1669,272692.7
1670,310185.2
1671,282304.2
1672,401463.2
1673,306297.5
1674,260476.47
1675,204975.19
1676,198942.45
1677,235849.08
1678,425945.25
1679,345020.44
1680,304705.9
1681,234606.61
1682,304982.62
1683,207012.02
1684,152742.98
1685,154788.36
1686,162801.94
1687,167836.27
1688,187926.95
1689,184482.66
1690,195024.42
1691,185360.86
1692,245503.7
1693,141782.7
1694,183851.17
1695,183056.22
1696,281427.0
1697,192934.8
1698,347730.34
1699,336217.97
1700,262960.94
1701,277329.2
1702,251646.42
1703,244655.05
1704,288255.53
1705,226128.86
1706,363095.66
1707,202983.05
1708,199712.3
1709,270738.56
1710,222838.67
1711,252515.7
1712,262563.88
1713,266337.5
1714,205725.81
1715,200196.23
1716,185996.81
1717,163220.8
1718,133061.94
1719,210817.61
1720,254845.14
1721,162115.92
1722,117407.77
1723,158261.42
1724,220197.33
1725,245563.86
1726,162925.67
1727,146717.28
1728,158047.28
1729,163087.4
1730,165221.89
1731,128139.69
1732,129625.08
1733,113796.52
1734,119870.57
1735,118406.3
1736,107730.1
1737,272001.16
1738,226717.84
1739,260248.42
1740,236302.31
1741,198213.77
1742,175678.98
1743,180523.16
1744,248395.34
1745,221025.2
1746,178981.39
1747,216283.64
1748,246706.44
1749,126817.89
1750,127409.95
1751,256313.27
1752,110648.54
1753,145555.7
1754,200325.98
1755,154503.89
1756,159843.39
1757,121698.57
1758,135993.23
1759,154747.92
1760,163544.5
1761,153392.86
1762,163968.14
1763,172553.48
1764,93053.49
1765,171611.1
1766,201553.58
1767,255605.17
1768,135244.7
1769,162997.95
1770,160896.61
1771,108407.75
1772,148670.05
1773,133444.6
1774,150943.61
1775,149952.42
1776,123020.42
1777,117938.68
1778,140299.61
1779,102861.52
1780,191584.23
1781,117267.58
1782,88139.99
1783,133027.77
1784,95684.69
1785,103623.75
1786,137753.97
1787,165865.36
1788,62569.41
1789,74454.164
1790,67613.04
1791,185761.6
1792,174012.3
1793,149460.6
1794,151890.25
1795,138901.89
1796,114619.695
1797,108572.02
1798,128481.99
